S.No,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,Blake Griffin,2009,1,80.5,82,83.25,105,35.5,140.5,32,137,248,8.2,0,0,22,10.95,3.28
1,Terrence Williams,2009,11,77,78.25,81,103.5,37,140.5,30.5,134,213,5.1,0,0,9,11.15,3.18
2,Gerald Henderson,2009,12,76,77,82.25,102.5,35,137.5,31.5,134,215,4.4,0,0,8,11.17,3.14
3,Tyler Hansbrough,2009,13,80.25,81.5,83.5,106,34,140,27.5,133.5,234,8.5,0,0,18,11.12,3.27
4,Earl Clark,2009,14,80.5,82.25,86.5,109.5,33,142.5,28.5,138,228,5.2,0,0,5,11.17,3.35
5,Austin Daye,2009,15,81.75,82.75,86.75,110,28,138,25,135,192,5.5,0,0,0,12.11,3.55
6,James Johnson,2009,16,79,79.75,84.75,105.5,35,140.5,30.5,136,257,12,0,0,18,11.21,3.23
7,Jrue Holiday,2009,17,75.25,76.25,79,100.5,34,134.5,28.5,129,199,6.3,0,0,6,10.64,3.21
8,Ty Lawson,2009,18,71.25,72.5,72.75,94.5,36.5,131,29,123.5,197,6.6,0,0,14,10.98,3.12
9,Jeff Teague,2009,19,72.25,73.5,79.5,98.5,36.5,135,30.5,129,175,4.5,0,0,13,11.05,3.18
10,Hasheem Thabeet,2009,2,85.25,86.5,90.25,113,0,0,0,0,267,6.7,0,0,0,0,0
11,Eric Maynor,2009,20,74.25,75.25,74.5,97,31.5,128.5,28.5,125.5,164,5.4,0,0,8,10.78,3.19
12,Darren Collison,2009,21,72.25,73.5,75,96.5,33.5,130,30.5,127,166,5.7,0,0,9,10.45,3.1
13,Omri Casspi,2009,23,79.75,81.25,81.25,106.5,32.5,139,25.5,132,211,8.6,0,0,2,11.15,3.28
14,Byron Mullens,2009,24,83.75,85.25,85.5,111,32.5,143.5,28.5,139.5,258,8.5,0,0,10,11.1,3.45
15,Damion James,2009,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,14,11.23,3.09
16,Rodrigue Beaubois,2009,25,73.25,74.25,81.75,100,39,139,29.5,129.5,182,7.9,0,0,3,10.49,3.15
17,Taj Gibson,2009,26,80.5,81.75,88,109,30,139,25.5,134.5,214,6.6,0,0,12,11.56,3.41
18,DeMarre Carroll,2009,27,78.25,79.75,82,105,0,0,0,0,207,6.3,0,0,0,0,0
19,Greivis Vasquez,2009,28,76.75,78,79.25,101,28,129,24.5,125.5,197,6.9,7.75,9.25,1,11.13,3.48
20,Wayne Ellington,2009,28,76.25,77.25,78.5,100,38,138,31.5,131.5,202,5.5,0,0,13,11.14,3.2
21,Toney Douglas,2009,29,73,74,78,97.5,32.5,130,28,125.5,183,5.2,0,0,15,10.63,3.03
